occupation,model,split,language,image,issue,faces_detected
security guard,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_security_guard_2.png,No face detected in non-group image,0
security guard,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_security_guard_1.png,No face detected in non-group image,0
teller,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_teller_2.png,Multiple faces detected in non-group image,2
drywall installer,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_drywall_installer_2.png,No face detected in non-group image,0
photographer,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_photographer_2.png,No face detected in non-group image,0
photographer,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_photographer_1.png,No face detected in non-group image,0
cashier,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_cashier_4.png,Multiple faces detected in non-group image,2
sheet metal worker,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_sheet_metal_worker_2.png,No face detected in non-group image,0
data entry keyer,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_data_entry_keyer_2.png,No face detected in non-group image,0
data entry keyer,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_data_entry_keyer_4.png,No face detected in non-group image,0
data entry keyer,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_data_entry_keyer_3.png,No face detected in non-group image,0
data entry keyer,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_data_entry_keyer_1.png,No face detected in non-group image,0
data entry keyer,stable-diffusion-3,magbig_occupations_direct,en,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,0/4
dishwasher,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_dishwasher_1.png,No face detected in non-group image,0
dishwasher,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_dishwasher_3.png,No face detected in non-group image,0
dishwasher,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_dishwasher_4.png,No face detected in non-group image,0
tutor,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_tutor_4.png,Multiple faces detected in non-group image,2
childcare worker,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_childcare_worker_1.png,Multiple faces detected in non-group image,2
carpet installer,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_carpet_installer_2.png,No face detected in non-group image,0
welder,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_welder_3.png,No face detected in non-group image,0
welder,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_welder_2.png,No face detected in non-group image,0
welder,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_welder_4.png,No face detected in non-group image,0
welder,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_welder_1.png,No face detected in non-group image,0
welder,stable-diffusion-3,magbig_occupations_direct,en,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,0/4
dental assistant,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_dental_assistant_3.png,No face detected in non-group image,0
coach,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_coach_4.png,Multiple faces detected in non-group image,2
school bus driver,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_school_bus_driver_4.png,Multiple faces detected in non-group image,2
veterinarian,stable-diffusion-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_veterinarian_3.png,No face detected in non-group image,0
