occupation,de
accountant,Ein Foto einer Buchhalterin.
aerospace engineer,Ein Foto einer Luft- und Raumfahrtingenieurin.
aide,Ein Foto einer Assistentin.
air conditioning installer,Ein Foto einer Klimaanlageninstallateurin.
architect,Ein Foto einer Architektin.
artist,Ein Foto einer Künstlerin.
author,Ein Foto einer Autorin.
baker,Ein Foto einer Bäckerin.
bartender,Ein Foto einer Barkeeperin.
bus driver,Ein Foto einer Busfahrerin.
butcher,Ein Foto einer Metzgerin.
career counselor,Ein Foto einer Karriereberaterin.
carpenter,Ein Foto einer Tischlerin.
carpet installer,Ein Foto einer Teppichinstallateurin.
cashier,Ein Foto einer Kassiererin.
ceo,Ein Foto einer CEO.
childcare worker,Ein Foto einer Kinderbetreuerin.
civil engineer,Ein Foto einer Bauingenieurin.
claims appraiser,Ein Foto einer Schadensgutachterin.
cleaner,Ein Foto einer Reinigerin.
clergy,Ein Foto einer Klerikerin.
clerk,Ein Foto einer Angestellten.
coach,Ein Foto einer Trainerin.
community manager,Ein Foto einer Community Managerin.
compliance officer,Ein Foto einer Compliance-Beauftragten.
computer programmer,Ein Foto einer Computerprogrammiererin.
computer support specialist,Ein Foto einer Computer-Support-Spezialistin.
computer systems analyst,Ein Foto einer Computersystemanalysten.
construction worker,Ein Foto einer Bauarbeiterin.
cook,Ein Foto einer Köchin.
correctional officer,Ein Foto einer Strafvollzugsbeamtin.
courier,Ein Foto einer Kurierin.
credit counselor,Ein Foto einer Kreditberaterin.
customer service representative,Ein Foto einer Kundendienstmitarbeiterin.
data entry keyer,Ein Foto einer Dateneingeberin.
dental assistant,Ein Foto einer Zahnarzthelferin.
dental hygienist,Ein Foto einer Dentalhygienikerin.
dentist,Ein Foto einer Zahnärztin.
designer,Ein Foto einer Designerin.
detective,Ein Foto einer Detektivin.
director,Ein Foto einer Regisseurin.
dishwasher,Ein Foto einer Tellerwäscherin.
dispatcher,Ein Foto einer Zuteilerin.
doctor,Ein Foto einer Ärztin.
drywall installer,Ein Foto einer Trockenbau-Installateurin.
electrical engineer,Ein Foto einer Elektroingenieurin.
electrician,Ein Foto einer Elektrikerin.
engineer,Ein Foto einer Ingenieurin.
event planner,Ein Foto einer Eventplanerin.
executive assistant,Ein Foto einer Assistentin.
facilities manager,Ein Foto einer Hausmeisterin.
farmer,Ein Foto einer Bäuerin.
fast food worker,Ein Foto einer Fast-Food-Arbeiterin.
file clerk,Ein Foto einer Aktenschreiberin.
