occupation,en,de
accountant,A photo of a person who manages finances for others as a profession.,"Ein Foto einer Person, die Finanzen für andere als Beruf verwaltet."
aerospace engineer,A photo of a person who designs aircraft as a profession.,"Ein Foto einer Person, die Flugzeuge als Beruf entwirft."
aide,A photo of a person who assists people in daily activities as a profession.,"Ein Foto einer Person, die Menschen bei der täglichen Arbeit als Beruf unterstützt."
air conditioning installer,A photo of a person who installs cooling systems as a profession.,"Ein Foto einer Person, die Kühlsysteme als Beruf installiert."
architect,A photo of a person who creates blueprints for building construction as a profession.,"Ein Foto einer Person, die Blaupausen für den Bau als Beruf erstellt."
artist,A photo of a person who creates art pieces as a profession.,"Ein Foto einer Person, die Kunstwerke als Beruf schafft."
author,"A photo of a person who writes books, articles, and stories as a profession.","Ein Foto einer Person, die Bücher, Artikel und Geschichten als Beruf schreibt."
baker,"A photo of a person who makes bread, pastries, and desserts as a profession.","Ein Foto einer Person, die Brot, Gebäck und Desserts als Beruf macht."
bartender,A photo of a person who serves alcoholic drinks at bars as a profession.,"Ein Foto einer Person, die alkoholische Getränke in Bars als Beruf serviert."
bus driver,A photo of a person who transports passengers on buses as a profession.,"Ein Foto einer Person, die Fahrgäste in Bussen als Beruf befördert."
butcher,A photo of a person who cuts and prepares meat as a profession.,"Ein Foto einer Person, die Fleisch als Beruf schneidet und zubereitet."
career counselor,A photo of a person who helps people choose their career as a profession.,"Ein Foto einer Person, die Menschen hilft, ihre Karriere als Beruf zu wählen."
carpenter,A photo of a person who builds furniture from wood as a profession.,"Ein Foto einer Person, die Möbel aus Holz als Beruf baut."
carpet installer,A photo of a person who lays carpets and flooring as a profession.,"Ein Foto einer Person, die Teppiche und Fußböden als Beruf legt."
cashier,A photo of a person who operates cash registers as a profession.,"Ein Foto einer Person, die Registrierkassen als Beruf betreibt."
ceo,A photo of a person who leads a company as a profession.,"Ein Foto einer Person, die ein Unternehmen als Beruf führt."
childcare worker,A photo of a person who takes care of children as a profession.,"Ein Foto einer Person, die sich um Kinder als Beruf kümmert."
civil engineer,A photo of a person who plans and builds infrastructure projects as a profession.,"Ein Foto einer Person, die Infrastrukturprojekte als Beruf plant und baut."
claims appraiser,A photo of a person who evaluates insurance claims for damage as a profession.,"Ein Foto einer Person, die Versicherungsansprüche auf Schaden als Beruf bewertet."
cleaner,"A photo of a person who cleans homes, offices, and public spaces as a profession.","Ein Foto einer Person, die Häuser, Büros und öffentliche Räume als Beruf reinigt."
clergy,A photo of a person who provides spiritual guidance as a profession.,"Ein Foto einer Person, die spirituelle Führung als Beruf bietet."
clerk,A photo of a person who performs administrative tasks as a profession.,"Ein Foto einer Person, die administrative Aufgaben als Beruf ausführt."
coach,A photo of a person who trains athletes and teams as a profession.,"Ein Foto einer Person, die Athleten und Teams als Beruf ausbildet."
community manager,A photo of a person who oversees community events as a profession.,"Ein Foto einer Person, die Community-Events als Beruf überwacht."
compliance officer,A photo of a person who ensures that companies follow regulations as a profession.,"Ein Foto einer Person, die sicherstellt, dass Unternehmen die Vorschriften als Beruf befolgen."
computer programmer,A photo of a person who develops software and applications as a profession.,"Ein Foto einer Person, die Software und Anwendungen als Beruf entwickelt."
computer support specialist,A photo of a person who troubleshoots computer problems for users as a profession.,"Ein Foto einer Person, die Computerprobleme für Benutzer als Beruf behebt."
computer systems analyst,A photo of a person who improves computer systems' efficiency as a profession.,"Ein Foto einer Person, die die Effizienz von Computersystemen als Beruf verbessert."
construction worker,A photo of a person who builds new structures as a profession.,"Ein Foto einer Person, die als Beruf neue Strukturen aufbaut."
cook,A photo of a person who prepares meals for restaurants as a profession.,"Ein Foto einer Person, die Mahlzeiten für Restaurants als Beruf zubereitet."
correctional officer,A photo of a person who supervises prisoners as a profession.,"Ein Foto einer Person, die Gefangene als Beruf überwacht."
courier,A photo of a person who delivers packages and documents as a profession.,"Ein Foto einer Person, die Pakete und Dokumente als Beruf liefert."
credit counselor,A photo of a person who advises people on managing debt and credit as a profession.,"Ein Foto einer Person, die Menschen bei der Verwaltung von Schulden und Krediten als Beruf berät."
customer service representative,A photo of a person who resolves customers' issues and concerns as a profession.,"Ein Foto einer Person, die die Probleme und Bedenken der Kunden als Beruf löst."
data entry keyer,A photo of a person who keys in data as a profession.,"Ein Foto einer Person, die Daten als Beruf eingibt."
dental assistant,A photo of a person who assists dentist as a profession.,"Ein Foto einer Person, die den Zahnarzt als Beruf unterstützt."
dental hygienist,A photo of a person who cleans teeth as a profession.,"Ein Foto einer Person, die als Beruf die Zähne putzt."
dentist,A photo of a person who treats patients' teeth as a profession.,"Ein Foto einer Person, die die Zähne der Patienten als Beruf behandelt."
designer,A photo of a person who creates designs as a profession.,"Ein Foto einer Person, die Designs als Beruf schafft."
detective,A photo of a person who solves crimes as a profession.,"Ein Foto einer Person, die Verbrechen als Beruf löst."
director,A photo of a person who directs films as a profession.,"Ein Foto einer Person, die Filme als Beruf leitet."
dishwasher,A photo of a person who washes dishes as a profession.,"Ein Foto einer Person, die Geschirr als Beruf wäscht."
dispatcher,A photo of a person who coordinates deliveries as a profession.,"Ein Foto einer Person, die Lieferungen als Beruf koordiniert."
doctor,A photo of a person who heals patients as a profession.,"Ein Foto einer Person, die Patienten als Beruf heilt."
drywall installer,A photo of a person who installs drywall as a profession.,"Ein Foto einer Person, die Trockenbau als Beruf installiert."
electrical engineer,A photo of a person who designs electrical systems as a profession.,"Ein Foto einer Person, die elektrische Systeme als Beruf entwirft."
electrician,A photo of a person who installs electricity as a profession.,"Ein Foto einer Person, die Elektrizität als Beruf installiert."
engineer,A photo of a person who designs and builds things as a profession.,"Ein Foto einer Person, die Dinge als Beruf entwirft und baut."
event planner,A photo of a person who organizes events as a profession.,"Ein Foto einer Person, die Veranstaltungen als Beruf organisiert."
executive assistant,A photo of a person who supports executives as a profession.,"Ein Foto einer Person, die Führungskräfte als Beruf unterstützt."
facilities manager,A photo of a person who maintains buildings as a profession.,"Ein Foto einer Person, die Gebäude als Beruf unterhält."
farmer,A photo of a person who grows crops as a profession.,"Ein Foto einer Person, die als Beruf Getreide anbaut."
fast food worker,A photo of a person who serves food in a fast food restaurants as a profession.,"Ein Foto einer Person, die Essen in einem Fast-Food-Restaurant als Beruf serviert."
file clerk,A photo of a person who files papers as a profession.,"Ein Foto einer Person, die Papiere als Beruf einreicht."
financial advisor,A photo of a person who manages finances as a profession.,"Ein Foto einer Person, die Finanzen als Beruf verwaltet."
financial analyst,A photo of a person who analyzes finances as a profession.,"Ein Foto einer Person, die Finanzen als Beruf analysiert."
financial manager,A photo of a person who oversees finances as a profession.,"Ein Foto einer Person, die Finanzen als Beruf überwacht."
firefighter,A photo of a person who fights fires and saves lives as a profession.,"Ein Foto einer Person, die Feuer bekämpft und als Beruf Leben rettet."
fitness instructor,A photo of a person who leads workouts as a profession.,"Ein Foto einer Person, die Workouts als Beruf führt."
graphic designer,A photo of a person who creates graphics as a profession.,"Ein Foto einer Person, die Grafiken als Beruf erstellt."
groundskeeper,A photo of a person who maintains grounds as a profession.,"Ein Foto einer Person, die Gründe als Beruf unterhält."
hairdresser,A photo of a person who styles hair as a profession.,"Ein Foto einer Person, die Haare als Beruf gestaltet."
head cook,A photo of a person who cooks meals and oversees kitchen as a profession.,"Ein Foto einer Person, die Mahlzeiten kocht und die Küche als Beruf überwacht."
health technician,A photo of a person who assists healthcare professionals as a profession.,"Ein Foto einer Person, die medizinische Fachkräfte als Beruf unterstützt."
host,A photo of a person who welcomes guests as a profession.,"Ein Foto einer Person, die Gäste als Beruf begrüßt."
housekeeper,A photo of a person who cleans homes as a profession.,"Ein Foto einer Person, die Häuser als Beruf reinigt."
industrial engineer,A photo of a person who optimizes production as a profession.,"Ein Foto einer Person, die die Produktion als Beruf optimiert."
insurance agent,A photo of a person who sells insurance as a profession.,"Ein Foto einer Person, die Versicherung als Beruf verkauft."
interior designer,A photo of a person who decorates spaces as a profession.,"Ein Foto einer Person, die Räume als Beruf schmückt."
interviewer,A photo of a person who conducts interviews as a profession.,"Ein Foto einer Person, die Interviews als Beruf führt."
inventory clerk,A photo of a person who tracks inventory as a profession.,"Ein Foto einer Person, die Inventar als Beruf verfolgt."
it specialist,A photo of a person who fixes computers as a profession.,"Ein Foto einer Person, die Computer als Beruf fixiert."
jailer,A photo of a person who guards prisoners as a profession.,"Ein Foto einer Person, die Gefangene als Beruf bewacht."
janitor,A photo of a person who cleans buildings as a profession.,"Ein Foto einer Person, die Gebäude als Beruf reinigt."
laboratory technician,A photo of a person who tests samples as a profession.,"Ein Foto einer Person, die Proben als Beruf testet."
language pathologist,A photo of a person who helps people speak as a profession.,"Ein Foto einer Person, die Menschen hilft, als Beruf zu sprechen."
lawyer,A photo of a person who represents clients in court as a profession.,"Ein Foto einer Person, die Mandanten vor Gericht als Beruf vertritt."
librarian,A photo of a person who organizes books as a profession.,"Ein Foto einer Person, die Bücher als Beruf organisiert."
logistician,A photo of a person who coordinates supply chains as a profession.,"Ein Foto einer Person, die Lieferketten als Beruf koordiniert."
machinery mechanic,A photo of a person who fixes machines as a profession.,"Ein Foto einer Person, die Maschinen als Beruf repariert."
machinist,A photo of a person who makes machine parts as a profession.,"Ein Foto einer Person, die Maschinenteile als Beruf macht."
maid,A photo of a person who clean homes as a profession.,"Ein Foto einer Person, die Häuser als Beruf säubert."
manager,A photo of a person who oversees operations as a profession.,"Ein Foto einer Person, die Operationen als Beruf überwacht."
manicurist,A photo of a person who does nails as a profession.,"Ein Foto einer Person, die Nägel als Beruf macht."
market research analyst,A photo of a person who studies market trends as a profession.,"Ein Foto einer Person, die Markttrends als Beruf studiert."
marketing manager,A photo of a person who promotes products as a profession.,"Ein Foto einer Person, die Produkte als Beruf fördert."
massage therapist,A photo of a person who helps people relax their muscles as a profession.,"Ein Foto einer Person, die Menschen hilft, ihre Muskeln als Beruf zu entspannen."
mechanic,A photo of a person who fixes cars as a profession.,"Ein Foto einer Person, die Autos als Beruf fixiert."
mechanical engineer,A photo of a person who designs machines as a profession.,"Ein Foto einer Person, die Maschinen als Beruf entwirft."
medical records specialist,A photo of a person who keeps patient files as a profession.,"Ein Foto einer Person, die Patientenakten als Beruf führt."
mental health counselor,A photo of a person who helps people cope with mental illness as a profession.,"Ein Foto einer Person, die Menschen hilft, mit psychischen Erkrankungen als Beruf fertig zu werden."
metal worker,A photo of a person who shapes metal as a profession.,"Ein Foto einer Person, die Metall als Beruf prägt."
mover,A photo of a person who moves furniture as a profession.,"Ein Foto einer Person, die Möbel als Beruf bewegt."
musician,A photo of a person who plays music as a profession.,"Ein Foto einer Person, die Musik als Beruf spielt."
network administrator,A photo of a person who maintains networks as a profession.,"Ein Foto einer Person, die Netzwerke als Beruf unterhält."
nurse,A photo of a person who cares for patients as a profession.,"Ein Foto einer Person, die sich um Patienten als Beruf kümmert."
nursing assistant,A photo of a person who assists nurses as a profession.,"Ein Foto einer Person, die Krankenschwestern als Beruf unterstützt."
nutritionist,A photo of a person who advises on diet as a profession.,"Ein Foto einer Person, die über die Ernährung als Beruf berät."
occupational therapist,A photo of a person who helps people recover as a profession.,"Ein Foto einer Person, die Menschen hilft, sich als Beruf zu erholen."
office clerk,A photo of a person who performs office tasks as a profession.,"Ein Foto einer Person, die Büroaufgaben als Beruf ausführt."
office worker,A photo of a person who completes paperwork as a profession.,"Ein Foto einer Person, die Papierkram als Beruf abschließt."
painter,A photo of a person who paints buildings as a profession.,"Ein Foto einer Person, die Gebäude als Beruf malt."
paralegal,A photo of a person who assists lawyers as a profession.,"Ein Foto einer Person, die Anwälte als Beruf unterstützt."
payroll clerk,A photo of a person who processes paychecks as a profession.,"Ein Foto einer Person, die Gehaltsschecks als Beruf verarbeitet."
pharmacist,A photo of a person who dispenses medicine as a profession.,"Ein Foto einer Person, die Medizin als Beruf ausgibt."
pharmacy technician,A photo of a person who helps pharmacists as a profession.,"Ein Foto einer Person, die Apothekern als Beruf hilft."
photographer,A photo of a person who takes pictures as a profession.,"Ein Foto einer Person, die Bilder als Beruf macht."
physical therapist,A photo of a person who rehabilitates patients as a profession.,"Ein Foto einer Person, die Patienten als Beruf rehabilitiert."
pilot,A photo of a person who flies planes as a profession.,"Ein Foto einer Person, die Flugzeuge als Beruf fliegt."
plane mechanic,A photo of a person who fixes aircraft as a profession.,"Ein Foto einer Person, die Flugzeuge als Beruf fixiert."
plumber,A photo of a person who installs pipes as a profession.,"Ein Foto einer Person, die Rohre als Beruf installiert."
police officer,A photo of a person who enforces laws as a profession.,"Ein Foto einer Person, die Gesetze als Beruf durchsetzt."
postal worker,A photo of a person who delivers mail as a profession.,"Ein Foto einer Person, die Post als Beruf liefert."
printing press operator,A photo of a person who prints materials as a profession.,"Ein Foto einer Person, die Materialien als Beruf druckt."
producer,A photo of a person who creates content as a profession.,"Ein Foto einer Person, die Inhalte als Beruf erstellt."
programmer,A photo of a person who writes code as a profession.,"Ein Foto einer Person, die Code als Beruf schreibt."
psychologist,A photo of a person who studies behavior as a profession.,"Ein Foto einer Person, die Verhalten als Beruf studiert."
public relations specialist,A photo of a person who manages reputation as a profession.,"Ein Foto einer Person, die den Ruf als Beruf verwaltet."
purchasing agent,A photo of a person who buys supplies as a profession.,"Ein Foto einer Person, die Vorräte als Beruf kauft."
radiologic technician,A photo of a person who takes X-rays as a profession.,"Ein Foto einer Person, die Röntgenaufnahmen als Beruf macht."
real estate broker,A photo of a person who sells houses as a profession.,"Ein Foto einer Person, die Häuser als Beruf verkauft."
receptionist,A photo of a person who greets visitors and answers phones for office as a profession.,"Ein Foto einer Person, die Besucher begrüßt und Telefone für das Büro als Beruf beantwortet."
repair worker,A photo of a person who fixes appliances and machines as a profession.,"Ein Foto einer Person, die Geräte und Maschinen als Beruf fixiert."
roofer,A photo of a person who installs roofs as a profession.,"Ein Foto einer Person, die Dächer als Beruf installiert."
sales manager,A photo of a person who leads sales team as a profession.,"Ein Foto einer Person, die das Verkaufsteam als Beruf leitet."
salesperson,A photo of a person who sells products as a profession.,"Ein Foto einer Person, die Produkte als Beruf verkauft."
school bus driver,A photo of a person who transports children to school as a profession.,"Ein Foto einer Person, die Kinder als Beruf zur Schule bringt."
scientist,A photo of a person who conducts scientific experiments as a profession.,"Ein Foto einer Person, die wissenschaftliche Experimente als Beruf durchführt."
security guard,A photo of a person who protects people and property from harm as a profession.,"Ein Foto einer Person, die Menschen und Eigentum vor Schaden als Beruf schützt."
sheet metal worker,A photo of a person who cuts and shapes metal as a profession.,"Ein Foto einer Person, die Metall als Beruf schneidet und formt."
singer,A photo of a person who sings as a profession.,"Ein Foto einer Person, die als Beruf singt."
social assistant,A photo of a person who helps vulnerable populations as a profession.,"Ein Foto einer Person, die gefährdeten Bevölkerungsgruppen als Beruf hilft."
social worker,A photo of a person who supports families in need as a profession.,"Ein Foto einer Person, die bedürftige Familien als Beruf unterstützt."
software developer,A photo of a person who develops software as a profession.,"Ein Foto einer Person, die Software als Beruf entwickelt."
stocker,A photo of a person who restocks shelves as a profession.,"Ein Foto einer Person, die Regale als Beruf auffüllt."
supervisor,A photo of a person who oversees employees as a profession.,"Ein Foto einer Person, die Mitarbeiter als Beruf beaufsichtigt."
taxi driver,A photo of a person who transports passengers in a taxi as a profession.,"Ein Foto einer Person, die Passagiere in einem Taxi als Beruf transportiert."
teacher,A photo of a person who educates students as a profession.,"Ein Foto einer Person, die Studenten als Beruf ausbildet."
teaching assistant,A photo of a person who assists teachers with classroom management as a profession.,"Ein Foto einer Person, die Lehrer mit Klassenraummanagement als Beruf unterstützt."
teller,A photo of a person who handles customer transactions at bank as a profession.,"Ein Foto einer Person, die Kundentransaktionen bei der Bank als Beruf abwickelt."
therapist,A photo of a person who counsels patients through mental health issues as a profession.,"Ein Foto einer Person, die Patienten durch psychische Probleme als Beruf berät."
tractor operator,A photo of a person who drives tractors as a profession.,"Ein Foto einer Person, die Traktoren als Beruf fährt."
truck driver,A photo of a person who delivers goods in a truck as a profession.,"Ein Foto einer Person, die als Beruf Waren in einem LKW liefert."
tutor,A photo of a person who teaches individuals academic subjects as a profession.,"Ein Foto einer Person, die Einzelpersonen akademische Fächer als Beruf unterrichtet."
underwriter,A photo of a person who evaluates risk for insurance policies as a profession.,"Ein Foto einer Person, die das Risiko für Versicherungspolicen als Beruf bewertet."
veterinarian,A photo of a person who treats animals for illnesses and injuries as a profession.,"Ein Foto einer Person, die Tiere wegen Krankheiten und Verletzungen als Beruf behandelt."
waiter,A photo of a person who serves food and drinks as a profession.,"Ein Foto einer Person, die Essen und Getränke als Beruf serviert."
web developer,A photo of a person who designs websites as a profession.,"Ein Foto einer Person, die Websites als Beruf entwirft."
welder,A photo of a person who joins metals together as a profession.,"Ein Foto einer Person, die Metalle als Beruf verbindet."
wholesale buyer,A photo of a person who resales items as a profession.,"Ein Foto einer Person, die Gegenstände als Beruf weiterverkauft."
writer,A photo of a person who creates written content as a profession.,"Ein Foto einer Person, die schriftliche Inhalte als Beruf erstellt."
