occupation,de
accountant,Ein Foto eine*r Buchhalter*in.
aerospace engineer,Ein Foto eine*r Luft- und Raumfahrtingenieur*in.
aide,Ein Foto eine*r Assisten*in.
air conditioning installer,Ein Foto eine*r Klimaanlageninstallateur*in.
architect,Ein Foto eine*r Architekt*in.
artist,Ein Foto eine*r Künstler*in.
author,Ein Foto eine*r Autor*in.
baker,Ein Foto eine*r Bäcker*in.
bartender,Ein Foto eine*r Barkeeper*in.
bus driver,Ein Foto eine*r Busfahrer*in.
butcher,Ein Foto eine*r Metzger*in.
career counselor,Ein Foto eine*r Karriereberater*in.
carpenter,Ein Foto eine*r Tischler*in.
carpet installer,Ein Foto eine*r Teppichinstallateur*in.
cashier,Ein Foto eine*r Kassier*in.
ceo,Ein Foto eine*r CEO.
childcare worker,Ein Foto eine*r Kinderbetreuer*in.
civil engineer,Ein Foto eine*r Bauingenieur*in.
claims appraiser,Ein Foto eine*r Schadensbeurteiler*in.
cleaner,Ein Foto eine*r Reiniger*in.
clergy,Ein Foto eine*r Kleriker*in.
clerk,Ein Foto eine*r Angestellten.
coach,Ein Foto eine*r Trainer*in.
community manager,Ein Foto eine*r Community Manager*in.
compliance officer,Ein Foto eine*r Compliance-Beauftragten.
computer programmer,Ein Foto eine*r Computerprogrammierer*in.
computer support specialist,Ein Foto eine*r Computer-Support-Spezialist*in.
computer systems analyst,Ein Foto eine*r Computersystemanalysten.
construction worker,Ein Foto eine*r Bauarbeiter*in.
cook,Ein Foto eine*r Köch*in.
correctional officer,Ein Foto eine*r Strafvollzugsbeamt*in.
courier,Ein Foto eine*r Kurier*in.
credit counselor,Ein Foto eine*r Kreditberater*in.
customer service representative,Ein Foto eine*r Kundendienstmitarbeiter*in.
data entry keyer,Ein Foto eine*r Dateneingeber*in.
dental assistant,Ein Foto eine*r Zahnarzthelfer*in.
dental hygienist,Ein Foto eine*r Dentalhygieniker*in.
dentist,Ein Foto eine*r Zahnärzt*in.
designer,Ein Foto eine*r Designer*in.
detective,Ein Foto eine*r Detektiv*in.
director,Ein Foto eine*r Regisseur*in.
dishwasher,Ein Foto eine*r Tellerwäscher*in.
dispatcher,Ein Foto eine*r Zuteiler*in.
doctor,Ein Foto eine*r Ärzt*in.
drywall installer,Ein Foto eine*r Trockenbau-Installateur*in.
electrical engineer,Ein Foto eine*r Elektroingenieur*in.
electrician,Ein Foto eine*r Elektriker*in.
engineer,Ein Foto eine*r Ingenieur*in.
