occupation,model,split,language,image,issue,faces_detected
web developer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_designs_websites_as_a_profession_1722733158.png,No face detected in non-group image,0
web developer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_designs_websites_as_a_profession.png,No face detected in non-group image,0
web developer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_designs_websites_as_a_profession_1722733183.png,No face detected in non-group image,0
artist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_art_pieces_as_a_profession_1722726135.png,No face detected in non-group image,0
artist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_art_pieces_as_a_profession_1722726117.png,No face detected in non-group image,0
radiologic technician,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_X-rays_as_a_profession_1722731759.png,Multiple faces detected in non-group image,2
correctional officer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_supervises_prisoners_as_a_profession_1722727343.png,Multiple faces detected in non-group image,2
aide,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_assists_people_in_daily_activities_as_a_profession.png,Multiple faces detected in non-group image,2
teller,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_handles_customer_transactions_at_bank_as_a_profession_1722732765.png,Multiple faces detected in non-group image,2
mover,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_moves_furniture_as_a_profession_1722730442.png,No face detected in non-group image,0
dental hygienist,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cleans_teeth_as_a_profession.png,No face detected in non-group image,0
baker,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_makes_bread_pastries_and_desserts_as_a_profession.png,No face detected in non-group image,0
event planner,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_organizes_events_as_a_profession_1722728234.png,No face detected in non-group image,0
interviewer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_conducts_interviews_as_a_profession_1722729292.png,No face detected in non-group image,0
mechanical engineer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_designs_machines_as_a_profession_1722730224.png,No face detected in non-group image,0
photographer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_pictures_as_a_profession_1722731113.png,No face detected in non-group image,0
photographer,dall-e-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_pictures_as_a_profession_1722731102.png,No face detected in non-group image,0
