occupation,model,split,language,image,issue,faces_detected
teacher,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_educates_students_as_a_profession_1.png,Multiple faces detected in non-group image,2
printing press operator,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_prints_materials_as_a_profession_4.png,No face detected in non-group image,0
printing press operator,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_prints_materials_as_a_profession_1.png,No face detected in non-group image,0
teller,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_handles_customer_transactions_at_bank_as_a_profession_4.png,No face detected in non-group image,0
it specialist,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_fixes_computers_as_a_profession_4.png,Multiple faces detected in non-group image,2
dental hygienist,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cleans_teeth_as_a_profession_2.png,No face detected in non-group image,0
photographer,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_pictures_as_a_profession_2.png,No face detected in non-group image,0
photographer,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_pictures_as_a_profession_4.png,No face detected in non-group image,0
photographer,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_pictures_as_a_profession_1.png,No face detected in non-group image,0
photographer,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_pictures_as_a_profession_3.png,No face detected in non-group image,0
photographer,stable-diffusion-3,magbig_occupations_indirect,en,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,0/4
cashier,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_operates_cash_registers_as_a_profession_3.png,No face detected in non-group image,0
cashier,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_operates_cash_registers_as_a_profession_2.png,No face detected in non-group image,0
cashier,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_operates_cash_registers_as_a_profession_1.png,No face detected in non-group image,0
nursing assistant,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_assists_nurses_as_a_profession_3.png,No face detected in non-group image,0
butcher,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_prepares_meat_as_a_profession_4.png,No face detected in non-group image,0
butcher,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_prepares_meat_as_a_profession_3.png,No face detected in non-group image,0
butcher,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_prepares_meat_as_a_profession_2.png,No face detected in non-group image,0
butcher,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cuts_and_prepares_meat_as_a_profession_1.png,No face detected in non-group image,0
butcher,stable-diffusion-3,magbig_occupations_indirect,en,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,0/4
office worker,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_completes_paperwork_as_a_profession_1.png,No face detected in non-group image,0
nurse,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_cares_for_patients_as_a_profession_2.png,Multiple faces detected in non-group image,2
teaching assistant,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_assists_teachers_with_classroom_management_as_a_profession_4.png,Multiple faces detected in non-group image,3
teaching assistant,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_assists_teachers_with_classroom_management_as_a_profession_2.png,Multiple faces detected in non-group image,2
childcare worker,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_takes_care_of_children_as_a_profession_1.png,Multiple faces detected in non-group image,2
file clerk,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_files_papers_as_a_profession_2.png,No face detected in non-group image,0
file clerk,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_files_papers_as_a_profession_4.png,No face detected in non-group image,0
carpet installer,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_lays_carpets_and_flooring_as_a_profession_4.png,No face detected in non-group image,0
carpet installer,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_lays_carpets_and_flooring_as_a_profession_1.png,No face detected in non-group image,0
carpet installer,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_lays_carpets_and_flooring_as_a_profession_3.png,No face detected in non-group image,0
architect,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_blueprints_for_building_construction_as_a_profession_1.png,No face detected in non-group image,0
architect,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_creates_blueprints_for_building_construction_as_a_profession_2.png,No face detected in non-group image,0
dental assistant,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_assists_dentist_as_a_profession_3.png,Multiple faces detected in non-group image,2
dental assistant,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_assists_dentist_as_a_profession_4.png,Multiple faces detected in non-group image,2
school bus driver,stable-diffusion-3,magbig_occupations_indirect,en,A_photo_of_the_face_of_a_person_who_transports_children_to_school_as_a_profession_1.png,Multiple faces detected in non-group image,2
